// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-8.852152	-1.367063	4.018284	0.012298	0.055423	0.004280	-0.656338	-0.270148	-0.465631	0.528610
54637	-8.818443	-1.375548	4.041381	0.012261	0.019627	-0.015275	-0.656351	-0.270121	-0.465602	0.528633
54638	-8.840977	-1.338597	4.032074	0.043685	0.049302	-0.004120	-0.656355	-0.270116	-0.465580	0.528651
54639	-8.845058	-1.352388	4.032544	0.030905	0.047012	0.001703	-0.656348	-0.270094	-0.465571	0.528677
54640	-8.853992	-1.351282	3.989856	0.017599	0.088345	-0.008098	-0.656374	-0.270054	-0.465529	0.528704
54641	-8.847688	-1.351928	4.019111	0.027017	0.061983	-0.001572	-0.656383	-0.269992	-0.465511	0.528740
54642	-8.822850	-1.403372	4.058291	-0.007780	0.003665	-0.000359	-0.656390	-0.269947	-0.465477	0.528784
54643	-8.817727	-1.374865	4.043175	0.014210	0.023877	-0.015287	-0.656380	-0.269934	-0.465459	0.528819
54644	-8.841393	-1.352661	4.048308	0.037067	0.037058	0.004949	-0.656352	-0.269930	-0.465464	0.528851
54645	-8.854580	-1.365799	4.005575	0.010674	0.075396	0.000967	-0.656336	-0.269916	-0.465444	0.528896
54646	-8.840683	-1.369981	4.002833	0.006289	0.071359	-0.012072	-0.656332	-0.269867	-0.465420	0.528946
54647	-8.841472	-1.384619	4.018058	-0.001941	0.055564	-0.002973	-0.656321	-0.269836	-0.465397	0.528996
54648	-8.844334	-1.384371	4.004050	-0.006139	0.069811	-0.006249	-0.656303	-0.269820	-0.465358	0.529061
54649	-8.854955	-1.380492	4.021693	0.003430	0.061730	0.010051	-0.656305	-0.269802	-0.465327	0.529096
54650	-8.839063	-1.355602	3.989359	0.016123	0.090776	-0.021202	-0.656305	-0.269770	-0.465286	0.529147
54651	-8.847502	-1.366447	4.036517	0.021703	0.052619	0.007480	-0.656310	-0.269741	-0.465237	0.529199
54652	-8.853256	-1.365890	4.008468	0.012933	0.080415	0.000925	-0.656305	-0.269697	-0.465207	0.529255
54653	-8.832168	-1.356329	4.019865	0.026169	0.065828	-0.014672	-0.656289	-0.269672	-0.465156	0.529332
54654	-8.837064	-1.384837	4.035466	0.004824	0.047021	0.000274	-0.656242	-0.269685	-0.465141	0.529396
54655	-8.838699	-1.338805	4.036996	0.049175	0.061462	-0.004214	-0.656226	-0.269639	-0.465097	0.529478
54656	-8.822717	-1.389420	4.033565	0.000718	0.043749	-0.012761	-0.656240	-0.269581	-0.465047	0.529534
54657	-8.830003	-1.386304	4.066042	0.014842	0.022142	0.006822	-0.656234	-0.269528	-0.465015	0.529596
54658	-8.802320	-1.394436	4.060376	0.005716	0.013343	-0.019234	-0.656228	-0.269518	-0.464995	0.529627
54659	-8.854895	-1.366246	3.996975	0.010628	0.098942	-0.002402	-0.656217	-0.269543	-0.464971	0.529649
54660	-8.839116	-1.384611	4.023241	0.002191	0.064846	-0.003030	-0.656225	-0.269495	-0.464951	0.529681
54661	-8.814242	-1.360658	4.033702	0.028527	0.053259	-0.024462	-0.656214	-0.269493	-0.464920	0.529722
54662	-8.828291	-1.388208	4.006158	-0.006418	0.075106	-0.019349	-0.656194	-0.269462	-0.464913	0.529769
54663	-8.841751	-1.352576	4.039727	0.038649	0.064231	0.001578	-0.656189	-0.269451	-0.464881	0.529808
54664	-8.856600	-1.394776	4.027356	-0.004852	0.069545	0.015818	-0.656176	-0.269386	-0.464869	0.529869
