// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-9.853165	-2.330232	1.648631	0.280741	1.155423	0.376448	0.584241	0.261935	0.551582	-0.534611
59331	-10.234294	-2.414486	1.649031	0.201731	1.203601	0.760848	0.587155	0.263461	0.552148	-0.530066
59332	-10.458614	-2.491667	1.704633	0.107172	1.139473	1.012553	0.590026	0.265609	0.552492	-0.525427
59333	-10.403962	-2.472638	1.768947	0.049839	0.999020	0.980082	0.592787	0.268108	0.552661	-0.520853
59334	-10.108431	-2.465884	1.783686	-0.072063	0.823669	0.711469	0.595353	0.270611	0.552723	-0.516548
59335	-9.625041	-2.451476	1.759625	-0.216049	0.634255	0.251991	0.597562	0.272860	0.552832	-0.512683
59336	-9.241808	-2.499914	1.797576	-0.361088	0.411390	-0.086857	0.599306	0.274716	0.552999	-0.509465
59337	-8.972562	-2.599200	1.872743	-0.505914	0.184018	-0.300601	0.600482	0.276392	0.553142	-0.507013
59338	-8.921956	-2.672056	1.928461	-0.593875	0.057741	-0.320378	0.601076	0.278120	0.553077	-0.505433
59339	-9.053244	-2.647161	1.988117	-0.563338	0.021747	-0.189624	0.601174	0.280207	0.552642	-0.504639
59340	-9.241076	-2.425732	2.055343	-0.342710	0.064497	-0.046197	0.601069	0.282466	0.551994	-0.504214
59341	-9.277846	-2.389228	2.040712	-0.341589	0.076125	-0.023473	0.600945	0.284775	0.551287	-0.503835
59342	-9.281363	-2.323816	2.070595	-0.300911	0.045724	-0.028087	0.600919	0.286954	0.550812	-0.503151
59343	-9.285698	-2.365519	2.105517	-0.355354	-0.028768	-0.008311	0.601045	0.288905	0.550705	-0.501999
59344	-9.250987	-2.488887	2.151322	-0.484763	-0.156369	-0.007389	0.601245	0.290877	0.550795	-0.500520
59345	-9.184583	-2.631906	2.149840	-0.654829	-0.261357	-0.044988	0.601360	0.293155	0.550861	-0.498978
59346	-9.108702	-2.728355	2.209742	-0.764739	-0.412415	-0.089513	0.601252	0.296061	0.550657	-0.497615
59347	-9.092335	-2.707852	2.290556	-0.758979	-0.529779	-0.097102	0.600915	0.299544	0.550141	-0.496508
59348	-9.149633	-2.649327	2.385872	-0.710682	-0.629492	-0.038979	0.600419	0.303357	0.549419	-0.495591
59349	-9.275349	-2.646908	2.474430	-0.713635	-0.723495	0.093266	0.599846	0.307224	0.548560	-0.494853
59350	-9.456377	-2.670414	2.460882	-0.774156	-0.716647	0.261876	0.599277	0.311076	0.547517	-0.494291
59351	-9.654091	-2.557691	2.580012	-0.661383	-0.780131	0.451490	0.598771	0.314662	0.546345	-0.493931
59352	-9.825084	-2.533554	2.592650	-0.670044	-0.773948	0.609634	0.598390	0.317854	0.545020	-0.493813
59353	-9.948542	-2.476951	2.693103	-0.619798	-0.839663	0.735877	0.598121	0.320454	0.543578	-0.494048
59354	-9.986128	-2.468239	2.601529	-0.677182	-0.749647	0.749617	0.597964	0.322158	0.542160	-0.494688
59355	-9.941329	-2.370319	2.542431	-0.631544	-0.666092	0.678729	0.597877	0.322748	0.540936	-0.495747
59356	-9.960059	-2.277905	2.462298	-0.573002	-0.533021	0.667866	0.597909	0.321904	0.540136	-0.497128
59357	-9.905475	-2.115180	2.411305	-0.421826	-0.407572	0.582623	0.598111	0.319518	0.539857	-0.498724
59358	-9.827088	-2.100884	2.314023	-0.405131	-0.274529	0.487798	0.598462	0.315595	0.540164	-0.500466
59359	-9.723169	-2.160016	2.244709	-0.431804	-0.183010	0.386507	0.598833	0.310559	0.540793	-0.502488
59360	-9.619532	-2.177066	2.202973	-0.396392	-0.094284	0.284882	0.599093	0.304778	0.541589	-0.504856
59361	-9.631649	-2.210205	2.152444	-0.358473	0.036573	0.294511	0.599181	0.298571	0.542430	-0.507550
59362	-9.675818	-2.191737	2.092035	-0.266804	0.206908	0.320736	0.599027	0.292341	0.543163	-0.510566
59363	-9.660444	-2.148044	2.117630	-0.127344	0.292811	0.302606	0.598676	0.286314	0.543687	-0.513825
59364	-9.613842	-2.089493	2.096139	0.003185	0.415939	0.237750	0.598198	0.280537	0.544092	-0.517128
59365	-9.533248	-2.087004	2.117751	0.088961	0.468609	0.162003	0.597601	0.275082	0.544411	-0.520404
59366	-9.470727	-1.913883	2.223740	0.360292	0.498261	0.082937	0.597016	0.269867	0.544679	-0.523515
59367	-9.408599	-1.841017	2.180274	0.480489	0.626461	-0.012673	0.596526	0.264681	0.545042	-0.526336
59368	-9.320068	-1.781572	2.109454	0.569668	0.760754	-0.138845	0.596143	0.259609	0.545446	-0.528871
59369	-9.269614	-1.729315	1.978898	0.630502	0.952729	-0.245752	0.595896	0.254586	0.546003	-0.531013
59370	-9.191314	-1.758472	1.971831	0.653428	0.993627	-0.323450	0.595712	0.249862	0.546596	-0.532850
59371	-9.096751	-1.773622	2.004235	0.694971	0.990151	-0.407921	0.595598	0.245536	0.547190	-0.534376
59372	-9.053640	-1.768841	2.066066	0.767474	0.977375	-0.441394	0.595534	0.241714	0.547738	-0.535627
59373	-8.907171	-1.744980	2.021925	0.789694	1.016260	-0.603227	0.595527	0.238470	0.548230	-0.536585
59374	-8.786254	-1.748048	1.970328	0.780815	1.051864	-0.734148	0.595491	0.235823	0.548789	-0.537223
59375	-8.613582	-1.704992	1.978712	0.820210	1.017403	-0.907174	0.595477	0.233847	0.549437	-0.537439
59376	-8.475002	-1.735493	2.020085	0.805702	0.930982	-1.014822	0.595491	0.232466	0.550312	-0.537129
59377	-8.336116	-1.874929	2.057446	0.685575	0.799749	-1.087457	0.595498	0.231809	0.551372	-0.536317
59378	-8.342733	-2.026168	2.130269	0.587394	0.674584	-1.012435	0.595424	0.232278	0.552316	-0.535224
59379	-8.499088	-2.032101	2.191055	0.629218	0.647863	-0.848935	0.595341	0.233961	0.552998	-0.533876
59380	-8.579382	-2.015225	2.266455	0.668284	0.572658	-0.755707	0.595313	0.236788	0.553412	-0.532231
59381	-8.645825	-1.956658	2.294931	0.708755	0.532619	-0.699017	0.595426	0.240488	0.553730	-0.530110
59382	-8.735899	-1.990886	2.339563	0.664316	0.443722	-0.586954	0.595646	0.244902	0.554038	-0.527514
59383	-8.891942	-2.013262	2.429879	0.650167	0.327954	-0.405621	0.595997	0.249742	0.554523	-0.524329
59384	-9.053967	-2.209397	2.437050	0.439424	0.216869	-0.192210	0.596364	0.254938	0.555182	-0.520701
59385	-9.190791	-2.265907	2.540169	0.381056	0.045248	-0.019391	0.596739	0.260543	0.555803	-0.516820
59386	-9.255697	-2.377970	2.604426	0.238514	-0.141957	0.088172	0.597090	0.266413	0.556310	-0.512861
59387	-9.224947	-2.460809	2.622834	0.085643	-0.311458	0.083194	0.597340	0.272499	0.556598	-0.509046
59388	-9.167697	-2.542385	2.576564	-0.096142	-0.428242	0.033877	0.597409	0.278665	0.556708	-0.505494
59389	-9.242417	-2.596494	2.580844	-0.214482	-0.537781	0.111430	0.597201	0.284812	0.556643	-0.502377
59390	-9.446425	-2.400123	2.774285	-0.012836	-0.694396	0.297134	0.596871	0.290581	0.556534	-0.499578
59391	-9.691316	-2.154842	3.134628	0.307963	-0.970772	0.548420	0.596873	0.295050	0.556848	-0.496597
59392	-9.799777	-2.361934	3.257986	0.121803	-1.208567	0.711222	0.597476	0.297856	0.557656	-0.493280
59393	-9.844601	-2.733929	3.076064	-0.324021	-1.226498	0.781791	0.598384	0.299673	0.558401	-0.490225
59394	-9.873559	-2.933662	2.787152	-0.648097	-1.076707	0.783640	0.599221	0.301182	0.558582	-0.488067
59395	-9.925146	-2.927633	2.616243	-0.734197	-0.939994	0.793986	0.599836	0.302447	0.558297	-0.486854
59396	-9.964390	-2.828561	2.482962	-0.716054	-0.790699	0.785281	0.600183	0.303357	0.557694	-0.486551
59397	-10.097978	-2.555642	2.554768	-0.442140	-0.729010	0.878446	0.600412	0.303573	0.557062	-0.486859
59398	-10.091731	-2.443174	2.496830	-0.364004	-0.623020	0.842151	0.600777	0.302659	0.556692	-0.487400
59399	-10.009440	-2.365234	2.441553	-0.308017	-0.535602	0.740157	0.601294	0.300559	0.556656	-0.488102
59400	-9.935423	-2.237161	2.341175	-0.207005	-0.374779	0.628337	0.602063	0.297252	0.556938	-0.488857
59401	-9.916511	-2.241639	2.191494	-0.228657	-0.188261	0.583299	0.603084	0.292759	0.557557	-0.489604
59402	-9.841024	-2.245838	2.079124	-0.231809	-0.039912	0.490530	0.604225	0.287443	0.558351	-0.490442
59403	-9.743229	-2.242729	2.036757	-0.196503	0.048532	0.388633	0.605408	0.281502	0.559351	-0.491288
59404	-9.618439	-2.335375	1.995288	-0.246121	0.097694	0.280801	0.606512	0.275272	0.560394	-0.492268
59405	-9.530888	-2.373064	2.016922	-0.213756	0.122055	0.211069	0.607461	0.269019	0.561375	-0.493436
59406	-9.452027	-2.401304	1.994469	-0.189492	0.191899	0.137754	0.608192	0.262931	0.562211	-0.494862
59407	-9.385214	-2.393601	1.885761	-0.171196	0.353669	0.046946	0.608688	0.257326	0.562715	-0.496622
59408	-9.328661	-2.329657	1.859826	-0.072365	0.464805	-0.030659	0.608922	0.252321	0.562916	-0.498672
59409	-9.265700	-2.264467	1.825478	0.016143	0.578010	-0.118445	0.608955	0.248001	0.562787	-0.500939
59410	-9.136642	-2.151449	1.821563	0.143776	0.655015	-0.274618	0.608872	0.244276	0.562472	-0.503220
59411	-9.058316	-2.086170	1.796069	0.220466	0.741267	-0.376981	0.608707	0.240994	0.562197	-0.505304
59412	-8.963594	-2.046964	1.809942	0.283833	0.768594	-0.477787	0.608543	0.238152	0.561985	-0.507081
59413	-8.967159	-1.997196	1.876679	0.388634	0.778289	-0.476538	0.608451	0.235721	0.561889	-0.508432
59414	-8.975949	-2.017478	1.864530	0.391471	0.822120	-0.470039	0.608490	0.233711	0.561880	-0.509324
59415	-8.947812	-1.983111	1.841758	0.425298	0.872106	-0.515019	0.608693	0.232135	0.561969	-0.509703
59416	-8.922283	-2.045627	1.854998	0.382991	0.845690	-0.519095	0.609027	0.230994	0.562176	-0.509594
59417	-8.855054	-2.041531	1.878094	0.391572	0.809903	-0.577007	0.609438	0.230295	0.562530	-0.509028
59418	-8.814965	-2.119570	1.921967	0.335862	0.724588	-0.579470	0.609911	0.230079	0.563007	-0.508030
59419	-8.872770	-2.188432	2.018978	0.321613	0.621690	-0.479865	0.610409	0.230377	0.563558	-0.506685
59420	-8.896099	-2.234121	2.073697	0.297706	0.541514	-0.429184	0.610929	0.231204	0.564106	-0.505069
59421	-8.904819	-2.246791	2.105290	0.284851	0.479911	-0.407130	0.611460	0.232439	0.564691	-0.503202
