// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	-9.119926	0.727316	3.516182	-0.027434	-0.053365	-0.011567	0.330954	0.537496	0.192294	-0.751392
50292	-9.110309	0.734936	3.517100	-0.024439	-0.064011	-0.019671	0.330856	0.537531	0.192348	-0.751397
50293	-9.123478	0.713829	3.469664	-0.003356	-0.017158	-0.025672	0.330781	0.537558	0.192428	-0.751390
50294	-9.117746	0.711914	3.522267	-0.041777	-0.052848	-0.012589	0.330687	0.537587	0.192493	-0.751394
50295	-9.108231	0.719117	3.523034	-0.038816	-0.063539	-0.020690	0.330592	0.537610	0.192577	-0.751398
50296	-9.109287	0.716143	3.520906	-0.038867	-0.062396	-0.020683	0.330487	0.537663	0.192673	-0.751382
50297	-9.114802	0.712348	3.538685	-0.052434	-0.072264	-0.009557	0.330353	0.537716	0.192761	-0.751380
50298	-9.144733	0.671098	3.465124	-0.023756	0.009283	-0.010497	0.330222	0.537771	0.192878	-0.751368
50299	-9.124539	0.679371	3.499576	-0.045720	-0.027172	-0.016619	0.330118	0.537807	0.192939	-0.751372
50300	-9.119818	0.694568	3.489016	-0.028504	-0.034959	-0.023678	0.330027	0.537832	0.193010	-0.751376
50301	-9.118211	0.726188	3.510087	-0.020964	-0.073676	-0.015547	0.329912	0.537867	0.193078	-0.751384
50302	-9.127283	0.670892	3.494051	-0.045824	-0.023645	-0.016610	0.329792	0.537897	0.193148	-0.751397
50303	-9.113040	0.670268	3.506025	-0.057179	-0.037177	-0.025741	0.329691	0.537943	0.193199	-0.751396
50304	-9.150329	0.654148	3.453572	-0.023957	0.016227	-0.010506	0.329612	0.537954	0.193284	-0.751401
50305	-9.098743	0.693050	3.496457	-0.036923	-0.055712	-0.040882	0.329541	0.537979	0.193340	-0.751399
50306	-9.116712	0.722329	3.523826	-0.031670	-0.090796	-0.012468	0.329458	0.538022	0.193407	-0.751388
50307	-9.114257	0.771050	3.555698	-0.020340	-0.149556	-0.000226	0.329327	0.538086	0.193527	-0.751369
50308	-9.142204	0.618444	3.404116	-0.015118	0.059878	-0.037895	0.329176	0.538135	0.193707	-0.751353
50309	-9.144226	0.665383	3.456126	-0.017475	-0.009814	-0.014524	0.329071	0.538171	0.193808	-0.751347
50310	-9.138771	0.662916	3.508628	-0.055879	-0.045425	-0.001374	0.328951	0.538192	0.193876	-0.751367
50311	-9.141907	0.625518	3.484244	-0.063504	-0.004376	-0.009543	0.328865	0.538197	0.193945	-0.751383
50312	-9.103677	0.705180	3.504745	-0.029630	-0.087554	-0.032662	0.328760	0.538213	0.194004	-0.751403
50313	-9.124150	0.699313	3.509187	-0.031944	-0.082553	-0.012396	0.328608	0.538260	0.194066	-0.751420
50314	-9.131326	0.686306	3.483920	-0.021437	-0.058460	-0.015446	0.328445	0.538313	0.194186	-0.751421
50315	-9.154494	0.644912	3.464541	-0.031269	-0.013683	-0.003378	0.328303	0.538365	0.194326	-0.751411
50316	-9.131213	0.635958	3.467586	-0.043484	-0.019155	-0.024665	0.328169	0.538368	0.194418	-0.751444
50317	-9.130852	0.649652	3.477679	-0.039768	-0.037947	-0.020561	0.328048	0.538375	0.194488	-0.751473
50318	-9.136818	0.662684	3.433353	0.002408	-0.019902	-0.029635	0.327912	0.538376	0.194569	-0.751510
50319	-9.140167	0.658552	3.526652	-0.063144	-0.077595	0.005846	0.327789	0.538401	0.194656	-0.751523
50320	-9.118188	0.641762	3.487061	-0.051285	-0.049144	-0.029653	0.327673	0.538421	0.194712	-0.751546
50321	-9.126488	0.688716	3.485559	-0.015157	-0.081977	-0.019359	0.327542	0.538443	0.194798	-0.751564
50322	-9.130332	0.624736	3.480925	-0.054327	-0.034898	-0.021573	0.327404	0.538462	0.194912	-0.751581
50323	-9.129942	0.629852	3.521808	-0.078454	-0.067658	-0.007334	0.327297	0.538508	0.195013	-0.751569
50324	-9.153486	0.606754	3.439540	-0.032534	0.005007	-0.015555	0.327207	0.538559	0.195094	-0.751550
50325	-9.138669	0.632151	3.431278	-0.012234	-0.014545	-0.030653	0.327084	0.538596	0.195138	-0.751566
50326	-9.113654	0.633415	3.477936	-0.048512	-0.053979	-0.037684	0.327027	0.538607	0.195195	-0.751568
50327	-9.140209	0.686902	3.525455	-0.038691	-0.116949	0.007135	0.326914	0.538671	0.195254	-0.751556
50328	-9.135238	0.624952	3.479787	-0.050824	-0.047874	-0.017424	0.326787	0.538714	0.195376	-0.751549
50329	-9.121786	0.632426	3.459434	-0.034306	-0.047576	-0.036636	0.326678	0.538788	0.195483	-0.751516
50330	-9.128647	0.611440	3.465076	-0.051794	-0.037516	-0.029604	0.326591	0.538867	0.195612	-0.751463
50331	-9.159217	0.621262	3.445271	-0.025501	-0.026749	-0.007294	0.326500	0.538952	0.195719	-0.751414
50332	-9.145772	0.629350	3.424745	-0.008993	-0.026517	-0.026508	0.326418	0.539010	0.195825	-0.751380
50333	-9.157058	0.616562	3.419873	-0.012098	-0.013456	-0.018452	0.326328	0.539042	0.195887	-0.751380
50334	-9.147269	0.615473	3.452448	-0.037021	-0.038067	-0.016366	0.326231	0.539064	0.195940	-0.751393
50335	-9.139614	0.588834	3.430841	-0.041522	-0.008937	-0.032701	0.326141	0.539079	0.195955	-0.751417
50336	-9.139204	0.604384	3.441096	-0.037756	-0.027688	-0.028553	0.326066	0.539106	0.195948	-0.751433
50337	-9.152633	0.626415	3.480217	-0.046721	-0.065570	-0.001035	0.325982	0.539136	0.195962	-0.751443
50338	-9.153402	0.624242	3.478585	-0.046734	-0.064392	-0.001028	0.325885	0.539166	0.196022	-0.751448
50339	-9.143962	0.631917	3.479540	-0.043763	-0.075081	-0.009065	0.325796	0.539192	0.196063	-0.751457
50340	-9.136755	0.613772	3.425888	-0.020417	-0.032019	-0.035557	0.325690	0.539234	0.196117	-0.751459
50341	-9.112127	0.615321	3.472040	-0.056684	-0.071474	-0.042518	0.325610	0.539292	0.196179	-0.751436
50342	-9.151799	0.632580	3.461454	-0.029624	-0.068716	-0.008013	0.325504	0.539378	0.196272	-0.751396
50343	-9.144468	0.596986	3.469720	-0.062116	-0.053488	-0.014222	0.325412	0.539458	0.196369	-0.751353
50344	-9.169628	0.624490	3.441031	-0.018427	-0.051582	0.001066	0.325300	0.539537	0.196511	-0.751308
50345	-9.153915	0.564103	3.428952	-0.055521	-0.008267	-0.021521	0.325194	0.539615	0.196599	-0.751275
50346	-9.112592	0.636601	3.459359	-0.035897	-0.094565	-0.045317	0.325121	0.539700	0.196706	-0.751217
50347	-9.143917	0.620692	3.459204	-0.041181	-0.077656	-0.017033	0.324996	0.539814	0.196820	-0.751160
50348	-9.177310	0.578442	3.404335	-0.026246	-0.007013	-0.007262	0.324875	0.539911	0.196941	-0.751110
50349	-9.177925	0.592475	3.412357	-0.022571	-0.025782	-0.003083	0.324786	0.539986	0.197076	-0.751060
50350	-9.155695	0.567547	3.403323	-0.038511	-0.011492	-0.028524	0.324715	0.540041	0.197180	-0.751024
50351	-9.140941	0.584746	3.426375	-0.046079	-0.045022	-0.033392	0.324625	0.540104	0.197228	-0.751004
50352	-9.175716	0.594439	3.427322	-0.033315	-0.045138	0.000086	0.324567	0.540166	0.197303	-0.750965
50353	-9.175997	0.609524	3.436182	-0.029619	-0.063865	0.004279	0.324493	0.540234	0.197371	-0.750930
50354	-9.163039	0.592051	3.436097	-0.044726	-0.057656	-0.008951	0.324422	0.540291	0.197502	-0.750885
50355	-9.170811	0.562355	3.398633	-0.038021	-0.013748	-0.016306	0.324344	0.540368	0.197647	-0.750825
50356	-9.196290	0.555498	3.421813	-0.053897	-0.019769	0.015122	0.324284	0.540423	0.197772	-0.750779
50357	-9.212449	0.652406	3.493558	-0.033500	-0.134329	0.060541	0.324207	0.540486	0.197959	-0.750718
50358	-9.195403	0.514115	3.445819	-0.100101	-0.014373	0.020074	0.324076	0.540631	0.198212	-0.750603
